videoId,title,publishedAt,duration,views,likes,comments,tags,categoryId,channel
srHaJdR5mjY,Avneet Kaur's Confession | Nawazuddin Siddiqui | Tiku Weds Sheru | #primevideoindia,2025-01-29 14:15:04+00:00,0.9666666666666667,80489,2054,17,"['avneet kaur', 'avneet kaur interview', 'avneet kaur film', 'avneet kaur new movie', 'tiku weds sheru avneet kaur', 'avneet kaur tiku weds sheru', 'nawazuddin siddiqui', 'nawazuddin siddiqui new movie', 'avneet kaur movie tiku weds sheru', 'avneeet kaur', 'avneet kaur edit', 'nawazuddin siddiqui movies', 'avneet kaur bold', 'avneet kaur dance', 'avneet kaur songs', 'avneet kaur edits', 'tiku weds sheru', 'tiku weds sheru trailer', 'tiku weds sheru movie', 'prime video', 'amazon prime', 'prime video india', 'shorts']",24,Prime Video India
RlqI1WT5Im4,Binod Nahi Maanega Ab 😂 | Panchayat | Funny Scene | Prime Video India,2025-01-29 13:35:03+00:00,2.0833333333333335,74562,729,43,"['panchayat', 'binod', 'binod panchayat scene', 'binod panchayat comedy scene', 'jitendra kumar panchayat', 'jeetu bhaiya panchayat', 'jeetu bhaiya', 'jitendra kumar', 'panchayat web series', 'panchayat season 3', 'panchayat 3', 'panchayat new season', 'panchayat trailer', 'panchayat season 2', 'tvf panchayat', 'panchayat best scene', 'panchayat 3 review', 'panchayat funny scenes', 'best of panchayat', 'panchayat comedy scene', 'panchayat comedy scenes', 'amazon prime', 'prime video', 'prime video india', 'funny', 'comedy']",24,Prime Video India
-xfZ8BtlJJ0,Robot Ne Ki Police Report 😱📝 | Kriti Sanon | Teri Baaton Mein Aisa Uljha Jiya | #primevideoindia,2025-01-29 12:18:27+00:00,0.9166666666666666,13074728,356906,468,"['kriti sanon', 'shahid kapoor and kriti sanon', 'shahid kapoor', 'kriti sanon interview', 'shahid kapoor interview', 'shahid kapoor new movie', 'shahid kapoor dance', 'shahid kapoor and kriti sanon dance', 'kriti sanon and shahid kapoor', 'kriti sanon movie', 'kriti sanon and shahid kapoor new song', 'kriti sanon and shahid kapoor new movie', 'kriti sanon new movie', 'teri baton me aisa uljha jia shahid kapoor', 'teri baaton mein aisa uljha jiya', 'prime video india', 'prime video', 'amazon prime', 'shorts', 'funny']",24,Prime Video India
Htyam6L_7s4,Purav Jha's Fight In Hostel Daze | Prime Video India,2025-01-29 11:15:59+00:00,2.3,186298,2157,33,"['purav jha', 'purav jha new video', 'purav jha video', 'purav jha comedy', 'purav jha age', 'purav new video', 'purav jha new', 'purav jha hostel daze', 'purav jha hostel daze scene', 'purav jha hostel days', 'hostel daze', 'hostel daze tvf', 'hostel daze full episode', 'hostel daze season 3', 'hostel daze season 2', 'hostel daze amazon prime', 'hostel daze trailer', 'hostel daze season 4', 'hostel daze season 3 trailer', 'tvf hostel daze season 4', 'hostel daze tvf trailer', 'prime video', 'amazon prime', 'new', 'latest']",24,Prime Video India
AFdad4cZSZY,Hanuman's Love For Mangoes 🥭 | Return Of Hanuman | #primevideoindia,2025-01-29 08:49:11+00:00,0.9333333333333333,25178,1154,0,"['hanuman', 'hanuman movie', 'return of hanuman', 'return of hanuman full movie', 'return of hanuman movie', 'return of hanuman full movie in hindi', 'return of hanuman hindi movie', 'bal hanuman', 'hanuman chalisa', 'bal hanuman cartoon', 'bal hanuman full movie', 'bal hanuman animated movie', 'hanuman animated movie', 'cartoon', 'hanuman jayanti', 'hanuman animated movies', 'cartoon movie', 'bal hanuman movie', 'cartoon film', 'animated movie', 'prime video', 'prime video india', 'amazon prime', 'shorts', 'kids cartoon']",24,Prime Video India
bD5Zd0KWLqA,"The Mehta Boys - Official Trailer | Boman Irani, Avinash Tiwary, Shreya Chaudhry | Prime Video India",2025-01-29 06:30:13+00:00,2.45,19697557,42434,848,"['the mehta boys', 'the mehta boys trailer', 'the mehta boys official trailer', 'boman irani', 'avinash tiwary', 'shreya chaudhry', 'boman irani movies', 'boman irani new movie', 'avinash tiwary movies', 'avinash tiwary new movie', 'shreya chaudhry movies', 'shreya chaudhry new movie', 'mehta boys movie', 'the mehta boys movie', 'the mehta boy full movie', 'the mehta boys boman irani', 'the mehta boys avinash tiwary', 'latest on prime', 'amazon prime', 'prime video', 'prime video india', 'new trailer', 'trailer 2025']",24,Prime Video India
PRk-YolLffA,House of David - Official Trailer | Prime Video India,2025-01-28 16:31:55+00:00,2.8666666666666667,56936,695,65,"['house of david', 'house of david official trailer', 'house of david trailer', 'house of david series', 'official trailer', 'trailer', 'official trailer 2025', 'trailer 2025', 'prime video official trailer', 'new amazon trailer', 'house of david prime video', 'prime video house of david', 'prime video', 'amazon prime video', 'amazon prime', 'prime', 'amazon', 'new trailers', 'prime video trailer', 'trailer prime video', 'official trailer prime video', 'new series', 'prime video india', 'latest on prime', 'new trailer', 'new']",24,Prime Video India
ESKvaLM5sUc,"When You Meet Your EX 🫣 ft. Shahid Kapoor, Raashii Khanna | Farzi | Prime Video India",2025-01-28 14:30:14+00:00,2.2666666666666666,82054,832,16,"['shahid kapoor', 'raashii khanna', 'farzi', 'shahid kapoor movies', 'shahid kapoor new movie', 'shahid kapoor movie', 'rashi khanna', 'raashi khanna', 'rashi khanna movies', 'raashi khanna movie', 'rashi khanna movie', 'rashi khanna new movie', 'farzi series', 'farzi web series', 'farzi song', 'farzi shahid kapoor', 'farzi trailer', 'farzi movie', 'farzi edit', 'farzi movie update', 'farzi web series 2023', 'farzi shahid kapoor series', 'farzi paisa hai toh', 'amazon prime', 'prime video', 'prime video india', 'thriller']",24,Prime Video India
c0aEObtYHhs,Rashmika Mandanna Accepts The Proposal 🫶🏻 ft. Vijay Devarakonda In Dear Comrade | #primevideoindia,2025-01-28 13:38:05+00:00,1.0,135385,2820,10,"['rashmika mandanna', 'rashmika mandanna movies', 'rashmika mandanna new movie', 'rashmika mandanna vijay', 'rashmika mandanna status', 'vijay devarakonda', 'vijay deverakonda', 'rashmika vijay devarakonda', 'vijay devarakonda rashmika', 'rashmika mandanna and vijay devarakonda', 'vijay devarakonda movies', 'vijay devarakonda rashmika relationship', 'vijay devarakonda and rashmika', 'dear comrade', 'dear comrade telugu movie', 'dear comrade movie', 'amazon prime', 'prime video', 'prime video india', 'telugu movie']",24,Prime Video India
3-I9-UW0NAU,Fahadh Faasil In Action 👊🏼🔥 | Aavesham | Prime Video India,2025-01-28 12:13:30+00:00,5.933333333333334,9813422,61197,816,"['fahadh faasil', 'aavesham', 'fahadh faasil movies', 'fahadh faasil new movie', 'aavesham movie', 'aavesham full movie', 'aavesham trailer', 'aavesham full movie malayalam', 'aavesham cinema', 'aavesham fight scene', 'aavesham fahadh faasil', 'fahadh faasil aavesham', 'aavesham movie songs', 'aavesham malayalam movie songs', 'aavesham movie songs malayalam', 'aavesham malayalam movie', 'aavesham movie malayalam', 'aavesham movie malayalam fahadh faasil', 'amazon prime', 'prime video', 'prime video india', 'movie']",24,Prime Video India
